Data_Number,Oxide,Valence,Peak_E0_μt,Peak_Max_μt,Max_y_xposition,Max_y,vdw_radius_alvarez,Peak_Width,gs_energy,fusion_enthalpy,num_unfilled
218,0,0,0.781122182906392,1.08879214663179,2.45436926061703,32.8847129302854,215,54.0236550000009,-5.13777457,16.74,0
220,0,0,0.729312222621661,1.10583603885323,2.20893233455532,2.68447325475563,215,46.6150130000024,-5.13777457,16.74,0
225,0,0,0.168401241097614,1.09791502601094,2.45436926061703,1.1948297997282,240,50.7699999999986,-5.54632457,17.48,2
226,0,0,0.645385065558681,1.06444309081491,3.5895150436524,0.721218910014806,245,46.0599999999977,-10.84610777,37.48,6
229,1,3,1.09419276701731,1.65417335994618,2.6384469551633,18.3902461612655,240,17.6199999999999,-7.080389145,16.2,3
231,1,3,0.46391791768529,1.22366308805928,1.77941771394734,1.66942289386404,238,17.0600000000013,-3.68065482,13.6,1
233,1,3,0.83409477839729,1.29023204215986,1.62601963515878,9.84092974757832,238,9.20000000000073,-3.68065482,13.6,1
236,0,0,0.443473096642328,1.18728513414794,2.23961195031304,12.3531020629594,239,14.0400000000009,-1.239999915,7.068,0
248,1,3,1.06156631078093,1.81830448774347,2.51572849213245,2.68531032720882,240,15.2299999999996,-5.54632457,17.48,2
249,1,4,1.41068889573705,1.77534323554978,1.74873809818963,1.79399393553458,245,21.1900000000005,-9.02056525,12.91,5
250,1,3,1.03762453261064,1.59703081301958,2.33165079758617,1.5393120972634,245,19.21,-9.02056525,12.91,5
252,1,3,0.46552595007524,1.46457105679543,2.69980618667873,2.84791832513047,245,15.7699999999995,-9.02056525,12.91,5
253,1,3,1.36523934423524,1.66139687820329,1.93281579273591,3.14516824779164,245,21.2400000000007,-9.50571654,21,6
257,1,4,1.01961426974098,1.40368441970859,1.74873809818963,1.06009736437309,246,18.8199999999997,-7.77522712,14.15,8
258,1,3,1.04313142638318,1.7734285126553,1.96349540849362,1.41474486787297,244,20.2200000000002,-8.28548436,13.81,4
260,0,0,0.22722850611984,1.01229100684193,2.20893233455532,39.3653297373302,240,25.5299999999997,-7.080389145,16.2,3
261,0,0,0.186690715682991,1.05611005795366,2.33165079758617,7.68239898343443,245,19.1799999999994,-9.02056525,12.91,5
262,0,0,0.169525621227214,1.07702186304225,2.20893233455532,43.5827781521381,240,51.2600000000002,-5.54632457,17.48,2
263,0,0,0.846174018453765,1.03780082722185,2.48504887637474,21.8945968255732,256,17.4399999999987,-10.09332153,30,7
264,1,4,0.642001785869926,1.24187247660811,1.07378655151995,7.5662149896114,256,36.6599999999999,-10.09332153,30,7
265,0,0,0.246055307120242,1.06457387602625,2.54640810789016,16.5844713225837,246,19.0299999999997,-7.77522712,14.15,8
274,0,0,0.155443731502483,1.00715695117973,2.17825271879761,35.7957161007794,240,25.3463016299993,-7.080389145,16.2,3
275,1,4,0.802044872871808,1.06473473309528,3.46679658062155,15.9118052668203,288,62.0300000000061,-4.77656965,5.46,22
276,1,3,0.395434681989461,1.02033865483428,1.68737886667421,4.36814664393082,253,30.6399999999994,-2.76539356,11.3,1
278,1,3,0.469708406479697,1.27638212840952,1.59534001940107,12.505762015374,246,20.71,-7.77522712,14.15,8
279,1,4,1.02422422683296,1.40541152297071,1.10446616727766,14.4836533490254,246,23.21,-7.77522712,14.15,8
285,1,3,0.888444681641738,1.15594050064417,2.45436926061703,14.888219116479,256,27.6892100000005,-10.09332153,30,7
287,1,4,1.12094771533639,1.49343657882614,1.62601963515878,14.5764717012507,242,34.2699999999968,-3.96104709,7.15,4
288,1,3,0.845095863056543,1.54094212219859,2.60776733940559,27.8703488073537,240,17.8199999999997,-5.54632457,17.48,2
299,1,4,0.5270524304267,1.27578444283664,1.38058270909708,11.5310979024669,245,51.5300000000007,-9.02056525,12.91,5
302,1,3,0.755005681734068,1.21707070912171,1.81009732970506,1.4497598559678,215,28.0900000000001,-5.13777457,16.74,0
304,1,3,0.430179895627969,1.25659664436288,3.00660234425586,0.498228612010689,245,19.6300000000001,-9.02056525,12.91,5
305,0,0,0.177163740640611,1.0917252291574,2.20893233455532,0.930006983072245,245,17.8400000000001,-9.02056525,12.91,5
306,1,3,0.448085530082366,1.38038532781695,2.42368964485931,1.28973882180576,245,15.3699999999999,-9.02056525,12.91,5
308,1,4,0.857335396257216,1.3454804698618,1.4419419406125,6.91145513107939,242,28.0599999999977,-3.96104709,7.15,4
309,0,0,0.658048438571788,1.05306818538536,1.99417502425133,0.252505079535862,242,28.0499999999993,-3.96104709,7.15,4
310,1,3,0.405991758292561,1.22701483333722,1.04310693576224,13.8485309153121,245,21.8599999999997,-9.02056525,12.91,5
