Data_Number,Oxide,Valence,Peak_E0_μt,Peak_Max_μt,Max_y_xposition,Max_y,vdw_radius_alvarez,Peak_Width,gs_energy,fusion_enthalpy,num_unfilled
218,0,0,0.781122182906341,1.08879214659341,2.45436926061703,32.8847129302847,215,54.0236550000009,-5.13777457,16.74,0
220,0,0,0.72931222262096,1.1058360388172,2.20893233455532,2.68447325475762,215,46.6150130000024,-5.13777457,16.74,0
225,0,0,0.168401241097614,1.09791502601094,2.45436926061703,1.19482979972818,240,50.7699999999986,-5.54632457,17.48,2
226,0,0,0.645385065560281,1.06444309085501,3.5895150436524,0.721218909965802,245,46.0599999999977,-10.84610777,37.48,6
229,1,3,1.09419276701734,1.65417335994617,2.6384469551633,18.3902461612642,240,17.6199999999999,-7.080389145,16.2,3
231,1,3,0.46391791768529,1.22366308809691,1.77941771394734,1.66942289386451,238,17.0600000000013,-3.68065482,13.6,1
233,1,3,0.834094778397302,1.29023204216136,1.62601963515878,9.84092974757643,238,9.20000000000073,-3.68065482,13.6,1
236,0,0,0.443473096642326,1.18728513414794,2.23961195031304,12.3531020629595,239,14.0400000000009,-1.239999915,7.068,0
248,1,3,1.06156631078093,1.81830448774281,2.51572849213245,2.68531032720866,240,15.2299999999996,-5.54632457,17.48,2
249,1,4,1.4106888957371,1.77534323554673,1.74873809818963,1.7939939355346,245,21.1900000000005,-9.02056525,12.91,5
250,1,3,1.03762453261065,1.59703081301958,2.33165079758617,1.53931209726335,245,19.21,-9.02056525,12.91,5
252,1,3,0.46552595007524,1.46457105674337,2.69980618667873,2.84791832513053,245,15.7699999999995,-9.02056525,12.91,5
253,1,3,1.36523934423524,1.66139687820329,1.93281579273591,3.1451682477916,245,21.2400000000007,-9.50571654,21.0,6
257,1,4,1.01961426974098,1.40368441970859,1.74873809818963,1.0600973643731,246,18.8199999999997,-7.77522712,14.15,8
258,1,3,1.04313142638316,1.77342851265877,1.96349540849362,1.41474486787293,244,20.2200000000002,-8.28548436,13.81,4
260,0,0,0.227228506119833,1.01229100684117,2.20893233455532,39.3653297373309,240,25.5299999999997,-7.080389145,16.2,3
261,0,0,0.186690715683001,1.05611005795333,2.33165079758617,7.68239898343462,245,19.1799999999994,-9.02056525,12.91,5
262,0,0,0.169525621227213,1.0770218630426,2.20893233455532,43.5827781521375,240,51.2600000000002,-5.54632457,17.48,2
263,0,0,0.846174018453792,1.03780082722173,2.48504887637474,21.8945968255728,256,17.4399999999987,-10.09332153,30.0,7
264,1,4,0.642001785869911,1.24187247661183,1.07378655151995,7.56621498961586,256,36.6599999999999,-10.09332153,30.0,7
265,0,0,0.24605530712024,1.06457387602587,2.54640810789016,16.5844713225845,246,19.0299999999997,-7.77522712,14.15,8
274,0,0,0.155443731502485,1.00715695117645,2.17825271879761,35.7957161007858,240,25.3463016299993,-7.080389145,16.2,3
275,1,4,0.802044872871759,1.06473473309399,3.46679658062155,15.9118052668159,288,62.0300000000061,-4.77656965,5.46,22
276,1,3,0.395434681989438,1.0203386548339,1.68737886667421,4.36814664393095,253,30.6399999999994,-2.76539356,11.3,1
278,1,3,0.469708406479693,1.27638212840903,1.59534001940107,12.5057620153736,246,20.71,-7.77522712,14.15,8
279,1,4,1.02422422683295,1.40541152297423,1.10446616727766,14.4836533490363,246,23.21,-7.77522712,14.15,8
285,1,3,0.888444681641742,1.155940500644,2.45436926061703,14.888219116479,256,27.6892100000005,-10.09332153,30.0,7
287,1,4,1.12094771533634,1.49343657881994,1.62601963515878,14.576471701197,242,34.2699999999968,-3.96104709,7.15,4
288,1,3,0.845095863056605,1.54094212219881,2.60776733940559,27.8703488073535,240,17.8199999999997,-5.54632457,17.48,2
299,1,4,0.527052430426678,1.27578444283739,1.38058270909708,11.5310979024768,245,51.5300000000007,-9.02056525,12.91,5
